isbn,title,author,title-original,series,series-original,entry,language,version
,Dragon Oracle Urban Fantasy Boxed Set (Dragon Oracle Complete Series: Books 1 - 9),Jada Fisher,,Dragon Oracle,,,,e-book
,"Dragonlands, Books 1 - 3: Hidden, Hunted, and Retribution",Megg Jensen,,,,,,e-book
9789029730259,Een tijd om nooit te vergeten,Jennifer Robson,,,,,,e-book
9781118654811,Evil By Design,Chris Nodder,,,,,,e-book
,Free Comic Book Day 2020 (Spider-Man/Venom) #1,Donny Cates & Jed MacKay,,,,,,e-book
9789026350924,Het sanatorium,Sarah Pearse,,,,,,e-book
9789402315370,Klaverblad,Floris Kleijne,,,,,,e-book
,Moon Kissed: Wolves of Midnight Bundle,Aimee Easterling & Stacy Claflin & S.M. Gaither & Raven Steele & Ava Mason,,,,,,e-book
9780198829195,Nineteen Eighty-Four,George Orwell,,,,,,e-book
,Omega Queen - Box Set Books #1-3 (Omega Queen Series),W. J. May,,,,,,e-book
9781980953906,Python: 3 Manuscripts in 1 book: - Python Programming For Beginners - Python Programming For Intermediates - Python Programming for Advanced,Maurice J. Thompson,,,,,,e-book
9781544922003,Raspberry Pi 3: New Users Programming Raspberry Pi 3 Guide With Raspberry Pi 3 Projects (Raspberry Pi 3 Programming),Josh Thompsons,,,,,,e-book
,Tante Biotica,Willy Vandersteen & Peter van Gucht & Luc Morjaeu,,,,,,e-book
,Treading on Python Series: Illustrated Guide to Python 3,Matt Harrison,,,,,,e-book
9781118240434,Usable Usability,Eric Reiss,,,,,,e-book
9789402761948,Valse getuige,Karin Slaughter,,,,,,e-book
9789402762112,Wedden dat ik blijf,Marijke Vos,,,,,,e-book
9789023960614,Zangvogels,Christy lefteri,,,,,,e-book
